,name,time,content,source,url
0,AAPL,661996140,Dow Jones Futures Slide After Trump Threatens To Veto 'Disgrace' Of A Stimulus Deal,Investor's Business Daily,https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-stock-market-rally-trump-stimulus-deal-apple-stock-tesla-stock/?src=A00220
1,AAPL,661947060,Elon Musk says Apple's boss snubbed takeover deal,BBC,https://finance.yahoo.com/news/elon-musk-says-apples-boss-025241378.html
2,AAPL,661937040,Musk says he tried to sell Tesla to Apple during Model 3 crunch,LA Times,https://finance.yahoo.com/news/musk-says-tried-sell-tesla-002429302.html
3,AAPL,661935660,Jim Cramer: The Real Market and the Dream Market,TheStreet.com,https://realmoney.thestreet.com/jim-cramer/jim-cramer-the-real-market-and-the-dream-market-15523892?puc=yahoo&cm_ven=YAHOO
4,AAPL,661931340,The DJIA and S&P 500 Slip as Tech Stocks Rise,Investopedia,https://www.investopedia.com/the-djia-and-s-and-p-500-slip-as-tech-stocks-rise-5093514?utm_campaign=quote-yahoo&utm_source=yahoo&utm_medium=referral
5,AAPL,661931160,Musk Says Apple CEO Refused Talks for Tesla at $60 Billion,Bloomberg,https://finance.yahoo.com/news/musk-says-apple-ceo-refused-221034094.html
6,AAPL,661930680,Dow Jones Stocks To Buy And Watch In December 2020: Apple Jumps Nearly 5%,Investor's Business Daily,https://www.investors.com/research/dow-jones-stocks/?src=A00220
7,AAPL,661929360,Musk approached Apple to buy Tesla during 'darkest days',Yahoo Finance Video,https://finance.yahoo.com/video/musk-approached-apple-buy-tesla-221618621.html
8,AAPL,661927200,"Qorvo, IBD Stock Of The Day, Riding 5G Wireless Upgrade Wave",Investor's Business Daily,https://www.investors.com/research/ibd-stock-of-the-day/qorvo-stock-benefiting-5g-smartphone-sales-boom/?src=A00220
9,AAPL,661926960,Elon Musk says he offered to sell Tesla to Apple but was ignored by Tim Cook,The Telegraph,https://finance.yahoo.com/news/elon-musk-says-offered-sell-213653252.html
10,AAPL,661926660,"Apple Car Speculation Drives Stock Higher, But Vehicle Might Not Leave Garage",Investor's Business Daily,https://www.investors.com/news/technology/apple-stock-rises-apple-car-speculation-wall-street-skeptical/?src=A00220
11,AAPL,661926600,"Stock Market Today: Nasdaq Sets Fresh Record, But Confidence Is Flagging",Kiplinger,https://finance.yahoo.com/news/stock-market-today-nasdaq-sets-213017213.html
12,AAPL,661926540,Elon Musk says Tim Cook 'refused' to meet with him about Apple buying Tesla,Yahoo Finance,https://finance.yahoo.com/news/elon-musk-tim-cook-refused-to-meet-about-apple-buying-tesla-212957049.html
13,AAPL,661926360,Musk tweets he reached out to Apple's Tim Cook for acquiring Tesla,Reuters,https://finance.yahoo.com/news/musk-tweets-reached-apples-tim-212601300.html
14,AAPL,661925820,US STOCKS-S&P 500 ends lower as new COVID storm clouds overshadow stimulus passage,Reuters,https://finance.yahoo.com/news/us-stocks-p-500-ends-211740661.html
15,AAPL,661925400,3 Stocks with Strong Dividends to Buy for Growth in 2021,Zacks,https://finance.yahoo.com/news/3-stocks-strong-dividends-buy-211009894.html
