,Sentiment,URL,Title,Description,Date
0,-0.1531,https://www.businessinsider.com/why-are-used-cars-so-expensive-now-shortages-pandemic-rentals-2021-7,How a perfect storm of shortages and rental car chaos sent used-car prices skyrocketing,"The auto market has seemingly been turned upside down. A five-year-old car, for instance, will now run you more than $24,000 on average.",2021-07-11
1,0.3818,https://finance.yahoo.com/news/anyone-beat-stock-market-research-140000092.html,"Anyone can beat the stock market, new research suggests","Ironically, the widespread belief that it’s impossible helps to make it possible.",2021-07-11
2,-0.128,https://seekingalpha.com/article/4438657-8-trends-in-the-world-of-electric-vehicles-and-some-stock-picks-for-each-one,8 Trends In The World Of Electric Vehicles And Some Stock Picks For Each One,China and Europe continue to dominate electric car sales. The electric pickup truck is coming to the USA in 2022.,2021-07-11
3,0.1685,https://www.snopes.com/ap/2021/07/11/musk-under-fire-again-ceo-to-testify-over-tesla-acquisition/,Musk Under Fire Again: CEO to Testify Over Tesla Acquisition,The lawsuit filed by the plaintiffs contends that Musk drove the decision to acquire SolarCity despite his clear-cut conflict of interest.,2021-07-11
4,0.7783,https://finance.yahoo.com/news/10-stocks-elon-musk-put-230036992.html,10 Stocks Elon Musk Has Put in the Spotlight — Are They Worth Your Investment?,"Elon Musk, the outspoken CEO and co-founder of Tesla, is nothing if not newsworthy. Musk is fond of making grand and oftentimes cryptic statements both in...",2021-07-11
5,-0.7269,https://www.marketwatch.com/story/elon-musk-under-fire-again-ceo-to-testify-over-teslas-acquisition-of-sunpower-01626035795,Elon Musk under fire again: CEO to testify over Tesla’s acquisition of SunPower,"Lawsuit claims $2.5 billion deal in 2016 was conflict of interest, bad business",2021-07-11
6,-0.128,https://www.foxbusiness.com/technology/musk-ceo-testify-tesla-acquisition,Musk under fire again: CEO to testify over Tesla acquisition - Fox Business,"In the runup to Tesla Inc.'s 2016 acquisition of a company called SolarCity, Elon Musk hailed the deal as a “no brainer"" – a purchase that would combine the leading maker of electric vehicles with a manufacturer of solar panels that can recharge EVs.",2021-07-11
7,-0.128,https://news.yahoo.com/musk-under-fire-again-ceo-143001216.html,Musk under fire again: CEO to testify over Tesla acquisition,"In the runup to Tesla Inc.'s 2016 acquisition of a company called SolarCity, Elon Musk hailed the deal as a “no brainer"" — a purchase that would combine the ...",2021-07-11
8,0.1779,https://ktla.com/news/california/elon-musk-called-to-defend-teslas-acquisition-of-solarcity/,Elon Musk called to defend Tesla’s acquisition of SolarCity - KTLA Los Angeles,"<ol><li>Elon Musk called to defend Tesla’s acquisition of SolarCity  KTLA Los Angeles
</li><li>Elon Musk Is Called to Defend Tesla’s Purchase of SolarCity  The Wall Street Journal
</li><li>Elon Musk says SpaceX still growing in Texas, plans rocket engine fa…",2021-07-11
9,0.6908,https://www.fool.com/investing/2021/07/11/stocks-see-sales-more-than-double-2022-wall-street/,"These Stocks Will See Sales More Than Double in 2022, According to Wall Street",Triple-digit revenue growth awaits this popular trio of companies next year.,2021-07-11
10,0.5927,https://www.barrons.com/articles/next-trillion-company-after-facebook-51625875519,Which Company Can Reach $1 Trillion After Facebook? Here's Our Guess. - Barron's,"Facebook recently reached a trillion-dollar market value, joining the rest of Big Tech in the exclusive club. But the big valuations are now hitting up against the increased likelihood of regulation.",2021-07-11
11,-0.6249,https://www.gizmodo.com.au/2021/07/u-s-charges-greek-man-known-as-the-bull-for-selling-inside-information-on-the-dark-web/,U.S. Charges Greek Man Known as ‘The Bull’ for Selling Inside Information on the Dark Web,"A cybercriminal known as “The Bull” was stopped in its tracks by U.S. authorities for selling insider information on publicly...
The post U.S. Charges Greek Man Known as ‘The Bull’ for Selling Inside Information on the Dark Web appeared first on Gizmodo Austr…",2021-07-11
12,0.2263,https://finance.yahoo.com/news/7-industry-leading-penny-stocks-191500752.html,7 Industry Leading Penny Stocks To Watch in July 2021,Are these industry-leading penny stocks worth watching right now?,2021-07-11
13,-0.6597,https://finance.yahoo.com/news/general-motors-turns-higher-tough-125025617.html,General Motors Turns Higher After Tough Week,Auto manufacturers will need to navigate a minefield of technical obstacles to achieve critical mass for EV sales.,2021-07-11
14,0.8074,https://www.dailymail.co.uk/news/article-9777937/Richard-Bransons-billionaire-rival-Elon-Musk-heads-New-Mexico-watch-historic-space-race.html,Richard Branson's billionaire rival Elon Musk heads to New Mexico to watch historic space race,The pair were snapped together alongside the message: 'Big day ahead. Great to start the morning with a friend' before Sir Richard's historic space launch in New Mexico.,2021-07-11
15,0.0,https://www.livemint.com/companies/news/elon-musk-is-called-to-defend-tesla-s-purchase-of-solarcity-11626004341982.html,Elon Musk is called to defend Tesla’s purchase of SolarCity,Plaintiffs allege that the billionaire entrepreneur led Tesla to overpay for SolarCity in 2016. Mr. Musk has defended the deal.,2021-07-11
16,0.6249,https://finance.yahoo.com/news/biden-2-5-trillion-plan-210000356.html,Biden’s $2.5 Trillion Plan Could Send These 3 EV Stocks Soaring,Biden could be days away from making the biggest gamble on America in decades. It could be great news for these 3 companies,2021-07-11
17,0.8555,https://seekingalpha.com/article/4438637-innovative-industrial-properties-is-now-a-good-time-to-buy,Innovative Industrial Properties: Is Now A Good Time To Buy?,"The market sees the legalization of cannabis as an existential risk for Innovative Industrial Products. We, however, view it as an opportunity. Click here to learn more.",2021-07-11
18,-0.7906,https://seekingalpha.com/article/4438380-tesla-china-struggles-are-just-getting-started,Tesla: China Struggles Are Just Getting Started,Political risks and the threat of regulations in China are limiting Tesla's upside in the region. Read more about TSLA stock here.,2021-07-11
19,-0.6705,https://economictimes.indiatimes.com/news/international/business/elon-musk-under-fire-again-ceo-to-testify-over-tesla-acquisition/articleshow/84319356.cms,Elon Musk under fire again: CEO to testify over Tesla acquisition,"On Monday in the Delaware Court of Chancery, the Tesla CEO will testify about the USD 2.5 billion deal in a shareholder lawsuit that alleges that Tesla's acquisition was rife with conflicts of interest, overlooked SolarCity's fundamental weaknesses and unsurp…",2021-07-11
20,0.9607,https://seekingalpha.com/article/4438694-peloton-stock-pton-terrific-business-and-huge-growth-opportunities,Peloton: Terrific Business And Huge Growth Opportunities,Peloton's business has huge growth opportunities as it has large TAM and a quite high NPS score of 94. Find out why we have a Strong Buy rating on PTON stock.,2021-07-11
21,-0.9062,https://economictimes.indiatimes.com/markets/stocks/news/tweet-buster-zerodha-ceo-nithin-kamaths-tip-for-options-traders/articleshow/84314778.cms,Tweet Buster: Zerodha CEO Nithin Kamath's tip for options traders,"Zerodha CEO Nithin Kamath said most buy option positions are in losses because they are of intraday trade. ""Exit with small profits but held overnight when in losses (also triggered from fear due to high exposure). This is a sure-shot way to lose money,"" he s…",2021-07-11
22,0.0,https://www.wsj.com/articles/elon-musk-is-called-to-defend-teslas-purchase-of-solarcity-11626001200,Elon Musk Is Called to Defend Tesla’s Purchase of SolarCity,Plaintiffs allege that the billionaire entrepreneur led Tesla to overpay for SolarCity in 2016. Mr. Musk has defended the deal.,2021-07-11
